Census tract,County,total17,total10,black17,black10,Change in black population,income2017,income2010,income,collegewhite17,collegewhite10,nodiploma17,highschoolgrad17,collegedegree17,nodiploma10,highschoolgrad10,collegedegree10,homeprice17,homeprice10,homeprice,employed17,white1_17,white2_17,white3_17,whitecollar17,employed10,white1_10,white2_10,white3_10,whitecollar10,whitecollar,early_late17,early_late10,privateschool17,totalpop17,privateschool10,totalpop10,moved17,moved10
1400000US37037020103,Chatham,4557,3784,301,276,25,83750,100104,-16354,1835,1844,493,773,2118,137,827,1984,463500,495200,-31700,1969,44.8,18.8,12.7,76.3,1844,54.9,11.9,25.9,92.7,-16.4,1062,2686,193,4452,195,3686,4.62,2.82360406
1400000US37037020104,Chatham,4841,4546,123,139,-16,84638,86212,-1574,2975,2659,67,950,3042,92,922,2829,356000,354400,1600,1540,69.4,5.3,19,93.7,1476,60.7,11.3,18.5,90.5,3.2,863,2140,54,4748,151,4384,6.49,3.82582431
1400000US37037020105,Chatham,4334,2342,112,182,-70,87773,79736,8037,1976,1085,72,935,2264,20,539,1144,305700,233600,72100,2292,61.2,12.6,18.8,92.6,1366,65.3,4.9,18.1,88.3,4.3,1175,1800,215,4177,59,2240,3.07,2.27390181
1400000US37037020106,Chatham,4483,3548,429,514,-85,78897,57372,21525,1355,1217,159,1386,1572,123,1163,1306,322900,239800,83100,2333,52.3,10.7,29.2,92.2,2104,54.7,17.5,13.4,85.6,6.6,1425,3541,117,4410,61,3455,4.96,4.87057221
1400000US37037020200,Chatham,7792,7864,803,562,241,64987,62574,2413,1681,1515,648,3148,1903,563,3498,1659,222800,198500,24300,4150,32.8,15.9,24.6,73.3,4147,35.2,15.3,25.6,76.1,-2.8,2857,6811,405,7665,224,7664,0,3.21079572
1400000US37037020300,Chatham,2708,2814,470,509,-39,43594,44306,-712,275,321,411,1150,335,438,1323,375,152900,124800,28100,1018,28.8,14.9,22.4,66.1,1336,23.1,23.7,18.8,65.6,0.5,815,2362,70,2616,25,2726,0.89,0
1400000US37037020401,Chatham,5769,5365,1279,1026,253,35952,31146,4806,400,384,1241,1986,461,1540,1532,458,115000,95300,19700,2400,20.2,17,17.2,54.4,2095,16.8,18.7,14.6,50.1,4.3,1645,3747,62,5539,9,5085,1.43,0.27329193
1400000US37037020402,Chatham,5016,5457,1380,1184,196,23848,33169,-9321,155,50,1125,1637,225,1507,1166,199,112800,88800,24000,2073,12.5,33.3,11.5,57.3,2400,11.5,13.5,13.9,38.9,18.4,1643,3970,29,4680,13,5133,1.34,1.56167284
1400000US37037020500,Chatham,3635,4001,254,349,-95,44070,41961,2109,349,461,477,1677,368,443,1833,493,136200,107300,28900,1648,29.4,21.9,14,65.3,1776,33.1,15.5,22.3,70.9,-5.6,1220,3067,69,3487,47,3864,0,0.32102729
1400000US37037020600,Chatham,5720,5811,1105,1135,-30,54914,55357,-443,880,578,526,2759,883,583,2763,744,166200,119000,47200,2947,43.1,17.4,16.2,76.7,3094,32.2,18.9,18.7,69.8,6.9,2262,5166,63,5552,135,5672,0.43,0.52631579
1400000US37037020701,Chatham,6478,3935,336,257,79,78305,78459,-154,2883,1450,214,1954,3214,353,1168,1676,349800,360300,-10500,2492,59.7,7.6,25.1,92.4,1828,75.1,6.6,13.9,95.6,-3.2,1477,2489,236,6346,282,3762,5.51,9.4224924
1400000US37037020702,Chatham,3997,3367,260,695,-435,61141,53298,7843,886,555,381,1565,969,322,1391,634,281000,174800,106200,1822,46.5,14.6,20,81.1,1538,39.6,12.2,25.7,77.5,3.6,1195,2535,151,3914,126,3300,0,1.39757264
1400000US37037020800,Chatham,9034,8592,1383,1687,-304,60672,52269,8403,2125,1729,518,3673,2679,1032,3366,1959,254000,210000,44000,4148,44,20.3,22.7,87,3828,46.8,18.9,15.2,80.9,6.1,2933,6032,461,8767,401,8379,0.34,2.29427119
1400000US37063000101,Durham,3074,2993,1416,1335,81,39913,40774,-861,531,314,503,1040,605,436,1000,399,138100,106800,31300,1533,45.1,23.4,15.9,84.4,1371,26,18.5,26,70.5,13.9,885,2309,18,2926,68,2855,2.72,0
1400000US37063000102,Durham,4520,3499,1403,1377,26,37476,38029,-553,868,548,747,1240,1139,466,1188,769,159700,129800,29900,2445,35.5,21,23.6,80.1,1873,35.3,19.8,19.4,74.5,5.6,1561,3018,79,4335,88,3274,7.87,1.78311499
1400000US37063000200,Durham,3319,2833,927,1286,-359,45685,33547,12138,825,660,497,826,1041,466,664,882,223800,176700,47100,1763,47.1,29.2,11,87.3,1689,46.6,14,16.6,77.2,10.1,1116,2470,152,3044,53,2736,4.79,2.52283602
1400000US37063000301,Durham,2618,2120,961,947,14,37222,40457,-3235,512,470,450,792,678,185,697,679,204900,134600,70300,1419,42.6,19.6,20.6,82.8,1341,44.4,18.3,20.7,83.4,-0.6,723,1967,153,2535,150,2096,1.52,6.95102686
1400000US37063000302,Durham,3410,3643,306,783,-477,66299,43831,22468,1573,1052,217,380,1845,319,714,1417,332100,222100,110000,1969,71.6,13.9,9.3,94.8,2190,60.3,14.1,13.5,87.9,6.9,923,3123,452,3276,601,3500,5.52,4.75435816
1400000US37063000401,Durham,2967,2665,94,390,-296,81926,57587,24339,1488,1030,41,544,1670,263,577,1137,280200,243500,36700,1611,71.9,7.4,10.9,90.2,1357,68.2,10.5,17.6,96.3,-6.1,614,1801,322,2789,229,2573,5.79,2.19478738
1400000US37063000402,Durham,2093,1753,90,150,-60,49848,40141,9707,998,788,5,236,1205,65,339,990,273400,167300,106100,1239,78,5.9,10.8,94.7,1024,71.2,12.5,6.9,90.6,4.1,315,1371,657,2072,438,1669,14.97,5.51330798
1400000US37063000500,Durham,4170,3257,2047,1709,338,29542,20776,8766,501,297,609,794,889,480,1140,487,142700,115000,27700,1776,40,29.4,16.3,85.7,1329,29.3,24.1,19.4,72.8,12.9,1104,2282,782,4051,375,3164,9.46,5.31842818
1400000US37063000600,Durham,5734,5899,1450,1770,-320,44740,49714,-4974,1682,1254,557,1646,2077,782,1909,1571,312200,198700,113500,2936,52.2,17.5,13.2,82.9,2838,45.8,18.7,13.4,77.9,5,1486,3873,401,5410,388,5646,7.99,8.52465562
1400000US37063000700,Durham,3745,2698,1135,895,240,51144,55405,-4261,1320,916,298,738,1720,281,558,1159,289000,268600,20400,1786,75,13.4,7.3,95.7,1597,63.2,14.5,10.3,88,7.7,751,2227,227,3538,267,2576,5.67,1.38468196
1400000US37063000900,Durham,2109,1463,1262,1174,88,29552,17404,12148,55,0,504,706,144,303,385,96,103600,74300,29300,984,8.2,33.2,14.8,56.2,482,11.2,21.2,32.4,64.8,-8.6,722,878,46,1970,34,1382,6.24,3.1945789
1400000US37063001001,Durham,3801,3195,2583,1886,697,30800,25025,5775,173,55,956,1193,365,775,1096,147,87100,76700,10400,1717,19.5,35.6,20.9,76,1113,9.5,46.7,8.5,64.7,11.3,1169,1946,62,3679,23,3042,0.99,1.67552105
