geoid,county,rural,black,income,collegewhite,nodiploma,highschoolgrad,collegedegree,homeprice,whitecollar,early_late,privateschool,moved
1400000US37037020103,Chatham,Rural,-0.69,-16354,-8.46,9.921339466,-5.210127634,10.96231889,-31700,-16.4,-19.72763476,-0.955157296,-18.77247746
1400000US37037020104,Chatham,Rural,-0.52,-1574,2.96,-0.74331018,-0.58689367,-91.17404658,1600,3.2,-16.59440587,-2.307022088,-14.28738378
1400000US37037020105,Chatham,Rural,-5.19,8037,-0.73,1.026763603,-3.065498635,25.07850508,72100,4.3,-15.54680601,2.513306286,-18.06011229
1400000US37037020106,Chatham,Rural,-4.92,21525,-4.08,0.35568834,-0.402994629,27.60094093,83100,6.6,-18.52510193,0.887504061,-19.41260599
1400000US37037020200,Chatham,Rural,3.16,2413,2.31,1.52775852,-5.916085143,-44.2767162,24300,-2.8,-11.02281057,2.361001597,-13.38381216
1400000US37037020300,Chatham,Rural,-0.73,-712,-1.25,1.171597212,-1.284193808,7.04554691,28100,0.5,-4.204031865,1.758746334,-5.962778199
1400000US37037020401,Chatham,Rural,3.05,4806,-0.22,-9.976387703,10.45089195,-3.447075209,19700,4.3,-18.1345044,0.94234447,-19.07684887
1400000US37037020402,Chatham,Rural,5.82,-9321,2.17,-14.80893762,14.20526553,0.345931443,24000,18.4,-1.225113831,0.366394921,-1.591508752
1400000US37037020500,Chatham,Rural,-1.74,2109,-1.92,2.915005231,0.297662262,2.537804242,28900,-5.6,-17.01245438,0.762422212,-17.7748766
1400000US37037020600,Chatham,Rural,-0.21,-443,5.44,-1.634317116,-1.360194567,-2.086596599,47200,6.9,-8.380236945,-1.24538661,-7.134850335
1400000US37037020701,Chatham,Rural,-1.34,-154,7.66,-7.065384482,-0.228044989,-11.69273393,-10500,-3.2,-17.57589747,-3.777134726,-13.79876274
1400000US37037020702,Chatham,Rural,-14.14,7843,5.68,-0.649316196,-5.57932794,23.26859466,106200,3.6,-9.448795377,0.039764017,-9.488559394
1400000US37037020800,Chatham,Rural,-4.33,8403,3.4,-8.694043564,0.514833217,-67.76186,44000,6.1,-8.564759655,0.472581237,-9.037340892
1400000US37063000101,Durham,Urban,1.46,-861,6.78,-0.343085768,-6.078780591,11.69854613,31300,13.9,-26.76019405,-1.76661204,-24.99358201
1400000US37063000102,Durham,Urban,-8.31,-553,3.54,4.663996584,-9.362821479,-1.784335573,29900,5.6,-14.47130724,-0.865467607,-13.60583963
1400000US37063000200,Durham,Urban,-17.46,12138,1.56,-2.137345134,1.93879027,-12.46670916,47100,10.1,-11.55478358,3.056295195,-14.61107878
1400000US37063000301,Durham,Urban,-7.96,-3235,-2.61,11.58612268,-3.40086483,7.598214286,70300,-0.6,-23.60447214,-1.120985591,-22.48348655
1400000US37063000302,Durham,Urban,-12.52,22468,17.25,-4.134249277,-13.58184158,3.878571633,110000,6.9,-29.85492983,-3.374114774,-26.48081505
1400000US37063000401,Durham,Urban,-11.47,24339,11.5,-11.4848025,-5.061466286,-7.506195383,36700,-6.1,-30.53171957,2.645240163,-33.17695973
1400000US37063000402,Durham,Urban,-4.26,9707,2.73,-4.31705928,-7.99762269,36.34709698,106100,4.1,-47.06446153,5.465234772,-52.5296963
1400000US37063000500,Durham,Urban,-3.38,8766,2.9,3.789475123,-19.46312922,27.36052521,27700,12.9,-20.14957018,7.451789619,-27.6013598
1400000US37063000600,Durham,Urban,-4.72,-4974,8.08,-5.334174645,-6.333233926,-30.10059125,113500,5,-23.17461846,0.540077774,-23.71469624
1400000US37063000700,Durham,Urban,-2.87,-4261,1.3,-3.251291931,-1.149988886,-85.42234383,20400,7.7,-31.83710891,-3.948852564,-27.88825635
1400000US37063000900,Durham,Urban,-20.41,12148,2.61,-1.424916348,3.034659211,5.877969764,29300,-8.6,-12.41200828,-0.125177224,-12.28683106
1400000US37063001001,Durham,Urban,8.93,5775,2.83,-0.377312225,-6.856943042,9.687936187,10400,11.3,-18.32857065,0.929159029,-19.25772968
1400000US37063001002,Durham,Urban,-12.86,1227,-0.24,10.18592072,-13.88864119,-4.571021501,-900,8,-3.675317323,3.273686892,-6.949004215
